Title,Price,Description,Image URL,Dimensions,Source URL
Whitman Armchair,"Rs. 24,500.00","The Whitman Armchair is a plush seating made from high-quality Sheesham wood and features a soft linen cover. This luxurious combination offers both comfort and durability for any living space. With a sleek and modern design, this armchair is a must-have for any home.",//timbermanor.in/cdn/shop/files/BF09D4DC-E9C7-4A17-9962-4A6A240349D4.png?v=1718313188&width=1946,,https://timbermanor.in/products/nelson-single-seater
Busan Lounger,"Rs. 23,850.00","Experience ultimate comfort and relaxation with the Busan Lounger! Made with plush cotton upholstery and durable rattan, this lounge chair offers a luxurious and comfortable seating experience. Perfect for unwinding after a long day or enjoying a good book. Treat yourself to the ultimate lounge experience with the Busan Lounger.",//timbermanor.in/cdn/shop/files/7EC76AD1-FE0A-4D82-ADEF-D5917FCA5F8E.png?v=1717405558&width=1946,,https://timbermanor.in/products/untitled-may20_18-20
Nelson Crockery Unit,"Rs. 44,500.00","Expertly crafted to organize and display your crockery and barware, the Nelson Crockery Unit combines intricate design with practical functionality. Keep your kitchen or dining area tidy and stylish with this must-have piece.",//timbermanor.in/cdn/shop/files/BB7E89AC-899B-4F36-99DF-CB2FBCA37AAA.png?v=1720959851&width=1946,"Length- 72in
Height- 48in
Depth- 16in",https://timbermanor.in/products/nelson-crockery-unit
Oxford Bar Cabinet,"Rs. 165,000.00","Experience the elegance and grandeur of an English phone booth with our Oxford Bar Cabinet. This majestic bar unit features a unique design that is sure to add sophistication and charm to any home. With plenty of storage space for your favorite beverages and barware, it's a functional and stylish addition to any living space.",//timbermanor.in/cdn/shop/files/54BF6E9F-77E6-4BDF-B433-F0A8ED1564DF.png?v=1718130997&width=1946,"Length- 60in
Height- 120in
Depth- 24in",https://timbermanor.in/products/untitled-jun11_23-35
Cabao Bar Cabinet,"Rs. 46,500.00","The Cabao Bar Cabinet combines Spanish-inspired design with functional storage and drawers. This unique piece is perfect for adding a touch of style and organization to your home bar. With a spacious interior and sleek exterior, it's sure to elevate your space.",//timbermanor.in/cdn/shop/files/F7372A33-04BB-41DE-8058-24E90404C0A5.jpg?v=1716788331&width=1946,"Height- 72in
Width-28in
Depth- 18in",https://timbermanor.in/products/untitled-may22_09-29
Cancun Bar Cabinet,"Rs. 36,850.00","The Cancun Bar Cabinet combines antiquity and utilitarian design, featuring handcrafted panels and an immaculate finish. Its purpose is to add elegance and functionality to any living space. Expertly crafted, this bar cabinet is perfect for storing and serving drinks and makes a beautiful addition to any home decor.",//timbermanor.in/cdn/shop/files/48A402A9-60AF-4EE6-B867-9FE8B61F0BCA.png?v=1716209408&width=1946,"Height- 66in
Width- 32in
Depth- 18in",https://timbermanor.in/products/cancun-bar-cabinet
Tudor Bar Cabinet,"Rs. 31,850.00",No description available,//timbermanor.in/cdn/shop/files/BB7A909E-A80A-4024-AE1D-F7C500430CE0.jpg?v=1682598463&width=1946,"Height- 44in
Width- 38in
Depth- 14in",https://timbermanor.in/products/tudor-bar-cabinet
Atlantis Bar Cabinet,"Rs. 36,850.00","Maximize your storage space and ease of access with our Sailor themed bar cabinet. This expertly crafted piece features a drop down shelf and custom design perfect for any party. Plus, as a made to order product, you can trust in its quality and functionality. This is a made to order product, please contact us if you’d like the dimensions or the finish to be altered.",//timbermanor.in/cdn/shop/files/F552A9FA-C125-4BF9-A669-302552C22B75_1_201_a.jpg?v=1683477756&width=1946,"Height- 60 in
Width- 40 in
Depth- 16in",https://timbermanor.in/products/atlantis-bar-cabinet
Diona Storage Bed,"Rs. 46,000.00","Diona Queen Bed is expertly crafted with hydraulic storage for ease of access and a clean, streamlined look. Upholstered for added comfort and style, this bed is the perfect addition to any bedroom. Experience convenience and elegance with the Diona Queen Bed.",//timbermanor.in/cdn/shop/files/9FE712BF-2888-47E1-9980-B5DF32CECCB3.png?v=1721033637&width=1946,"Width- 63in
Length- 81in
Headboard- 42in",https://timbermanor.in/products/diona-queen-bed-1
Caitlyn Bed,"Rs. 36,500.00","The Caitlyn Queen Bed is a sleek and modern addition to any bedroom. With its minimalistic design and upholstered finish, it offers both style and comfort. Crafted with high-quality materials, this bed will provide a restful night's sleep for years to come. Elevate your bedroom with this elegant and functional piece.",//timbermanor.in/cdn/shop/files/3E9132AB-40F5-4984-A41D-C7A82A07FD6E.png?v=1718183294&width=1946,,https://timbermanor.in/products/caitlyn-queen-bed
Diona Bed,"Rs. 38,000.00","Elevate your bedroom with the Diona Queen Bed. Featuring an upholstered curved headboard, this bed offers both comfort and style. The rich natural tones add a touch of elegance to any room. Crafted with expert precision, experience luxury at its finest.",//timbermanor.in/cdn/shop/files/2E1AE92C-3876-4867-A488-9A6F7EEFC0BA.png?v=1717429953&width=1946,,https://timbermanor.in/products/diona-queen-bed
Ruth Queen Bed,"Rs. 46,000.00","The Ruth Queen Bed combines the natural elegance of rattan with the sturdy durability of solid wood. The rattan back adds a touch of sophistication to this queen-sized bed, creating a comfortable and stylish sleeping experience. Crafted with quality materials, it is built to last for years to come.",//timbermanor.in/cdn/shop/files/B76CA432-8FB4-40D1-B585-28A5CCA9DD4E.png?v=1717430764&width=1946,"Mattress size: 60x78in

Headboard height- 54in
Platform height- 12in",https://timbermanor.in/products/ruth-queen-bed
Naele Sides,"Rs. 16,500.00","Transform your living room activities with these multifunctional Naele Sides, ideal for placing near your bed or couch. Maximize space by incorporating versatile and practical furniture suitable for a variety of activities. From reading in bed to lounging on the couch, this minimalistic side table offers easy access and convenience.",//timbermanor.in/cdn/shop/files/3BAAE7DF-7DCC-4960-BDA4-F39C7E5C0512.png?v=1718316817&width=1946,"Width- 24in
Height-24in
Platform Height- 18in
Depth- 16in",https://timbermanor.in/products/naele-sides
Burkin Cabinet,"Rs. 28,850.00","Expertly handcrafted from natural wood tones and adorned with a delicate pastel green carved design, this cabinet offers versatile storage options for linens, dishes, or shoes. Its sturdy construction ensures reliable weight-bearing capabilities.",//timbermanor.in/cdn/shop/files/IMG_3745.png?v=1709276483&width=1946,"Height- 54in
Width- 32in
Depth- 16in",https://timbermanor.in/products/burkin-cabinet
Menai Cabinet,"Rs. 31,850.00","Introducing the Olive Range extension - an expertly designed and adaptable addition. Featuring a stunning blend of burnt brown and olive hues, plus a unique notched wicker detail to elevate your living space. This is a made to order product, please contact us if you’d like the dimensions or the finish to be altered.",//timbermanor.in/cdn/shop/files/224F3B96-642A-42BD-8F5D-6E15D6AAD548.heic?v=1684235726&width=1946,"Height- 60in (top -15in) (bottom- 20in)
Width- 32in
Depth- 16in (top- 13in) (bottom- 15in)
",https://timbermanor.in/products/menai-cabinet
Claude Display Cabinet,"Rs. 34,750.00",No description available,//timbermanor.in/cdn/shop/files/image.jpg?v=1684838442&width=1946,"Height- 66in
Width- 30in
Depth- 16in",https://timbermanor.in/products/claude-display-cabinet
Kun Wall Shelves,"Rs. 4,200.00","Maximize storage and style with Kun Wall Shelves. Crafted with natural cane, these shelves provide a sleek and modern look while also offering durable and functional storage options. Perfect for any room in your home, these shelves add a touch of elegance while keeping your space organized and clutter-free.",//timbermanor.in/cdn/shop/files/46A7870F-BDE7-4B1D-AD21-5A30E682F58B.jpg?v=1714470615&width=1946,"Length- 24in
Height- 6in
Depth- 6in",https://timbermanor.in/products/untitled-apr19_11-49
Maurice Cabinet,"Rs. 26,850.00","The Maurice Cabinet is an exquisitely designed piece that features a combination of rich wood gradients and elegant fluted glass elements. Add a touch of sophistication to your living space and elevate its aesthetic with this exquisite cabinet. Experience the perfect balance of beauty and functionality. This is a made to order product, please contact us if you’d like the dimensions or the finish to be altered.",//timbermanor.in/cdn/shop/files/7EA8DD1C-48A8-4747-8BDD-387059B7CBAE.png?v=1717430261&width=1946,"Height- 50in
Width- 30in
Depth- 15in",https://timbermanor.in/products/maurice-cabinet
Ancilla Bookshelf,"Rs. 24,000.00","Expertly handcrafted with natural hues of wood and rattan, the Ancilla Bookshelf exudes timeless charm and versatility. The intricate borders add a touch of elegance while providing sturdy support for your books and decor. Elevate your living space with this unique and functional piece.",//timbermanor.in/cdn/shop/files/990FE131-1EAC-42E9-86FA-C832D24D5105.png?v=1717067104&width=1946,"Height- 60in
Width- 24in
Depth- 15in",https://timbermanor.in/products/untitled-apr3_08-37
Lyla Storage Shelf,"Rs. 23,500.00","Skillfully made storage shelves that effortlessly blend the resilience of wood with the inherent allure of rattan. Suitable for various settings like living rooms and bedrooms, these expertly crafted shelves are constructed with premium materials for long-lasting use. They bring a touch of rustic sophistication to any space while providing the ideal solution for all your organizational requirements.",//timbermanor.in/cdn/shop/products/F1F8F0C7-82E3-40E9-9BB4-749A98412B25.png?v=1682596720&width=1946,"Height- 48in
Width- 24in
Depth- 16in",https://timbermanor.in/products/lyla-storage-shelf
Lanie Cabinet,"Rs. 26,500.00",Maximize your storage space with the Lanie Cabinet. This spacious rattan cabinet features channeled drawers for easy organization. Keep your belongings tidy and accessible with this stylish and functional piece of furniture.,//timbermanor.in/cdn/shop/files/2E364CB0-2FA6-40F1-9389-A157B93A8552.png?v=1718131882&width=1946,"Height- 42in
Width- 36in
Depth- 15in",https://timbermanor.in/products/elle-cabinet
Matilda Console Legacy,"Rs. 26,500.00","The Matilda Console Legacy is a timeless piece, beautifully finished in antique brown and stained green. With spacious cabinets and channeled drawers, it offers ample storage while adding a touch of handwoven rattan for a unique and elegant look. The perfect addition to any home or office space.",//timbermanor.in/cdn/shop/files/030759EA-521F-41BD-B945-616804F88D00.png?v=1717237609&width=1946,"Length- 42in
Height- 48in
Depth- 16in",https://timbermanor.in/products/matilda-console-legacy
Maurice Cabinet,"Rs. 26,850.00","The Maurice Cabinet is an exquisitely designed piece that features a combination of rich wood gradients and elegant fluted glass elements. Add a touch of sophistication to your living space and elevate its aesthetic with this exquisite cabinet. Experience the perfect balance of beauty and functionality. This is a made to order product, please contact us if you’d like the dimensions or the finish to be altered.",//timbermanor.in/cdn/shop/files/7EA8DD1C-48A8-4747-8BDD-387059B7CBAE.png?v=1717430261&width=1946,"Height- 50in
Width- 30in
Depth- 15in",https://timbermanor.in/products/maurice-cabinet
Bennet Cupboard,"Rs. 26,850.00","The Bennet Cupboard adds a touch of elegance to any room with its beautiful antique brown finish and intricate rattan panels. Its spacious design allows for ample storage and organization, making it a practical and stylish addition to your home decor.",//timbermanor.in/cdn/shop/files/501A0B82-186A-4138-9718-C39A7B67DCAB.png?v=1717429616&width=1946,"Height- 42in
Width- 36in
Depth- 15in",https://timbermanor.in/products/bennet-cupboard
Burt Cabinet,"Rs. 24,500.00","The Burt Cabinet features exquisite rattan panels and versatile storage. With its elegant design and functional storage space, this cabinet adds a touch of sophistication to any room. The rattan panels add a unique texture, while the ample storage space allows for easy organization and accessibility. Perfect for any home or office setting.",//timbermanor.in/cdn/shop/files/204805A3-691E-4372-9AE5-69D9215389CD.jpg?v=1712203979&width=1946,"Height- 52in
Width- 24in
Depth- 18in",https://timbermanor.in/products/burt-cabinet
Kleya Cabinet,"Rs. 31,500.00","Maximize storage capacity with this exquisitely crafted cabinet, showcasing a harmonious blend of natural and chalk white elements. Enhance your storage options with Kleya, known for its streamlined design and generous capacity. Add a touch of sophistication to your home with its sleek and elegant look.",//timbermanor.in/cdn/shop/files/FF533FBA-C3B7-4981-AC30-12F160A50E6F.png?v=1717429376&width=1946,"Height- 66in
Width- 32in
Depth- 16in",https://timbermanor.in/products/kleya-cabinet
Darwin Console,"Rs. 21,500.00",No description available,//timbermanor.in/cdn/shop/files/image_9f38509a-4dd1-439b-8a6d-1de58024f469.heic?v=1686205517&width=1946,"Length- 48in
Height- 32in
Depth- 15in",https://timbermanor.in/products/darwin-console
Venezia Cabinet,"Rs. 31,500.00",No description available,//timbermanor.in/cdn/shop/files/92AE7AE0-37B4-44FD-98FF-7388BEAF5ADC.jpg?v=1682664034&width=1946,"Length- 60in
Height- 36in
Depth- 14in",https://timbermanor.in/products/venezia-cabinet
Menai Cabinet,"Rs. 31,850.00","Introducing the Olive Range extension - an expertly designed and adaptable addition. Featuring a stunning blend of burnt brown and olive hues, plus a unique notched wicker detail to elevate your living space. This is a made to order product, please contact us if you’d like the dimensions or the finish to be altered.",//timbermanor.in/cdn/shop/files/224F3B96-642A-42BD-8F5D-6E15D6AAD548.heic?v=1684235726&width=1946,"Height- 60in (top -15in) (bottom- 20in)
Width- 32in
Depth- 16in (top- 13in) (bottom- 15in)
",https://timbermanor.in/products/menai-cabinet
Krivai Cabinet,"Rs. 38,500.00","Enhance your living room with the Krivai Cabinet, featuring brass details and brushed brass linings. Perfect for storing and organizing your belongings, this cabinet adds a touch of elegance to any space. With its sophisticated design and durable materials, the Krivai Cabinet is a must-have for any home.",//timbermanor.in/cdn/shop/files/BA70CADB-B8CB-4134-BD00-18B2C731C2AA.jpg?v=1706097426&width=1946,"Height- 70in
Width- 32in
Depth- 16in",https://timbermanor.in/products/krivai-cabinet
Essen Olive Cabinet,"Rs. 23,500.00",No description available,//timbermanor.in/cdn/shop/files/DB62A6B2-C8FC-44A4-A8CD-0F200EDF8924_1_102_o.jpg?v=1683359803&width=1946,"Height- 42in
Width- 36in
Depth- 15in",https://timbermanor.in/products/essen-olive-cabinet
Claude Display Cabinet,"Rs. 34,750.00",No description available,//timbermanor.in/cdn/shop/files/image.jpg?v=1684838442&width=1946,"Height- 66in
Width- 30in
Depth- 16in",https://timbermanor.in/products/claude-display-cabinet
Atlantis Bar Cabinet,"Rs. 36,850.00","Maximize your storage space and ease of access with our Sailor themed bar cabinet. This expertly crafted piece features a drop down shelf and custom design perfect for any party. Plus, as a made to order product, you can trust in its quality and functionality. This is a made to order product, please contact us if you’d like the dimensions or the finish to be altered.",//timbermanor.in/cdn/shop/files/F552A9FA-C125-4BF9-A669-302552C22B75_1_201_a.jpg?v=1683477756&width=1946,"Height- 60 in
Width- 40 in
Depth- 16in",https://timbermanor.in/products/atlantis-bar-cabinet
Noel Rattan Bed,"Rs. 42,000.00","Indulge in the ultimate luxury with our Noel Rattan Bed. Handcrafted with exquisite rattan, this bed exudes elegance and sophistication. Elevate your bedroom decor with this stunning piece, adding a touch of natural beauty to your sanctuary. Experience the perfect blend of comfort and style with our Noel Rattan Bed.",//timbermanor.in/cdn/shop/files/59A5B42C-C720-4AC9-BDD4-A3C0FC02A2CE.png?v=1718311910&width=1946,"King Size

Mattress - 72x75in",https://timbermanor.in/products/noel-rattan-bed
Bueno Bed,"Rs. 42,500.00","Expertly crafted with a white washed finish, the Bueno Queen Bed features beautiful rattan construction for a timeless and elegant piece. Add a touch of sophistication to your bedroom with this stunning bed, perfect for a peaceful and stylish slumber.",//timbermanor.in/cdn/shop/files/21381601-48F1-4C6B-96FA-105FAE70E109.png?v=1718133171&width=1946,,https://timbermanor.in/products/fella-bed
Beroe Armchair,"Rs. 14,500.00","The Beroe Armchair is a stylish and functional addition to any living space. Crafted with a rattan back and finished with walnut, it offers a touch of natural elegance. With its ergonomic design, it provides both comfort and support, making it the perfect seating option for relaxation and enjoyment.",//timbermanor.in/cdn/shop/files/11C3E25C-6032-4D01-B6AE-96CB220EBF6E.png?v=1722340840&width=1946,,https://timbermanor.in/products/untitled-jul30_17-15
Lamia Seater,"Rs. 18,000.00","Jute woIndulge in the natural beauty of our Lamia Seater. Handwoven with jute and crafted with Sheesham wood, this piece exudes earthy vibes and expert craftsmanship. Experience the perfect blend of style and sustainability.",//timbermanor.in/cdn/shop/files/77AC708A-F20C-4B01-8886-20E6AF0F51EF.png?v=1718315543&width=1946,,https://timbermanor.in/products/lamia-seater
Kata Single Seater,"Rs. 13,850.00","The Kata Single Seater combines the natural and warm tones of rattan and wood, providing both comfort and versatility as a lounge or dining chair. Expertly crafted, this chair offers a unique and stylish touch to any space. Enjoy its comfortable seating for long periods of time.",//timbermanor.in/cdn/shop/files/E1B6527F-4DD7-48CD-AE8E-4E91C492AFF5.png?v=1718314580&width=1946,"Height- 32in 
Width- 24in
Depth-22in
",https://timbermanor.in/products/kata-single-seater
Fae Single Seater,"Rs. 16,500.00",No description available,//timbermanor.in/cdn/shop/files/4D73A8BD-7DA4-4E86-A87F-F239BC1E7DB7.png?v=1718314242&width=1946,,https://timbermanor.in/products/fae-single-seater
Tabo Drawers Set,"Rs. 21,000.00",Easily solve storage issues with this 6-drawer set featuring captivating tribal engravings. Bring functionality and cultural influence to your living space.,//timbermanor.in/cdn/shop/files/image_14dcffb5-2948-42bf-9c78-b61714b6a313.png?v=1688021274&width=1946,,https://timbermanor.in/products/tabo-drawers-set
Whitman Coffee Table,"Rs. 26,000.00","Crafted by hand, the Whitman Coffee Table is made from premium solid Sheesham wood. Experience the state-of-the-art design and high-quality craftsmanship with every use. Elevate your living space with this luxurious and durable piece.",//timbermanor.in/cdn/shop/files/FC0226C4-8801-4313-9765-6CE0A13EBC6C.png?v=1719218672&width=1946,"Length- 36in
Width- 36in
Height- 16.5in",https://timbermanor.in/products/whitman-coffee-table
Brunei Coffee Table,"Rs. 14,800.00","Experience elegance and durability with our Brunei Coffee Table. Expertly crafted with hard carved legs and a solid wood top, this table is the perfect addition to any living space. Enjoy the timeless beauty and sturdy design for years to come.",//timbermanor.in/cdn/shop/files/730FD222-5265-436A-94EF-305E0E12D904.jpg?v=1713507120&width=1946,"Length- 36in
Width- 36in
Height-18in",https://timbermanor.in/products/brunei-coffee-table
Reese Coffee Table,"Rs. 15,900.00","Elevate your living space with the minimalist Reese Coffee Table. Finished in a natural tone and supported by cast iron legs, this centrepiece adds a touch of sophistication to any room.",//timbermanor.in/cdn/shop/files/1923A207-4555-494B-9BF1-75D0AFB10A96.png?v=1707807482&width=1946,"Width- 36in
Depth- 36in
Height- 18in (Centre console gap- 12in)
Legs- 6in",https://timbermanor.in/products/reese-coffee-table
Naele Sides,"Rs. 16,500.00","Transform your living room activities with these multifunctional Naele Sides, ideal for placing near your bed or couch. Maximize space by incorporating versatile and practical furniture suitable for a variety of activities. From reading in bed to lounging on the couch, this minimalistic side table offers easy access and convenience.",//timbermanor.in/cdn/shop/files/3BAAE7DF-7DCC-4960-BDA4-F39C7E5C0512.png?v=1718316817&width=1946,"Width- 24in
Height-24in
Platform Height- 18in
Depth- 16in",https://timbermanor.in/products/naele-sides
Gwen Coffee Table,"Rs. 26,500.00","The Gwen Coffee Table boasts a minimalist Nordic design, complete with rattan sliders for convenient storage space access underneath the platform. With its sleek Nordic influence and included rattan sliders, the Gwen Coffee Table is expertly crafted for easy, yet stylish organisation.",//timbermanor.in/cdn/shop/files/image_6e195cc7-1e71-4c7d-8ee1-686ce10d305e.heic?v=1684839097&width=1946,"Total Height- 18in 
Legs- 6in
Storage gap- 12in
Depth- 36in
Length- 36in",https://timbermanor.in/products/gwen-coffee-table
Matilda Console Legacy,"Rs. 26,500.00","The Matilda Console Legacy is a timeless piece, beautifully finished in antique brown and stained green. With spacious cabinets and channeled drawers, it offers ample storage while adding a touch of handwoven rattan for a unique and elegant look. The perfect addition to any home or office space.",//timbermanor.in/cdn/shop/files/030759EA-521F-41BD-B945-616804F88D00.png?v=1717237609&width=1946,"Length- 42in
Height- 48in
Depth- 16in",https://timbermanor.in/products/matilda-console-legacy
Matilda Console,"Rs. 26,850.00","The Matilda Console adds mid-century charm while also providing functional storage space. With its sleek design and additional storage capabilities, this console table is perfect for any entryway, living room, or hallway. Bring both style and organization to your home with the Matilda Console. Effortlessly store and display your belongings with the Matilda Console, a mid century piece that offers extra storage options. Enhance your space with this sleek and functional console, perfect for any modern home.",//timbermanor.in/cdn/shop/files/0CD1EBCE-2E51-4DF5-B009-DFF0FBEFE26B.png?v=1717236714&width=1946,"Length- 42in
Height- 48in
Depth- 16in",https://timbermanor.in/products/untitled-apr24_14-41
