Title,Price,Description,Image URL,Dimensions,Source URL
Beirut Console,"Rs. 22,500.00","Introducing the Beirut Console – a Nordic-inspired console with ample storage space. Crafted with functionality in mind, this sleek piece seamlessly blends style and convenience. With its clean lines and versatile design, it adds both aesthetic appeal and practicality to any living space.",//timbermanor.in/cdn/shop/files/BCC46569-537F-46C6-BEA4-38737A6D5BE9.png?v=1717068660&width=1946,"Length- 60in
Height- 32in
Depth- 16in",https://timbermanor.in/products/untitled-jan30_22-32
Tyler Console Table,"Rs. 14,500.00","Enhance your hallway with this stylish console table, featuring a bohemian-inspired design in a combination of chalk white and natural tones.",//timbermanor.in/cdn/shop/files/CA42F22D-E7EF-432F-8CDA-AD7E225BA1B8.png?v=1706095059&width=1946,"Height- 36in
Length- 36in
Depth- 15in",https://timbermanor.in/products/tyler-console-table
Nelson Crockery Unit,"Rs. 44,500.00","Expertly crafted to organize and display your crockery and barware, the Nelson Crockery Unit combines intricate design with practical functionality. Keep your kitchen or dining area tidy and stylish with this must-have piece.",//timbermanor.in/cdn/shop/files/BB7E89AC-899B-4F36-99DF-CB2FBCA37AAA.png?v=1720959851&width=1946,"Length- 72in
Height- 48in
Depth- 16in",https://timbermanor.in/products/nelson-crockery-unit
Lanie Cabinet,"Rs. 26,500.00",Maximize your storage space with the Lanie Cabinet. This spacious rattan cabinet features channeled drawers for easy organization. Keep your belongings tidy and accessible with this stylish and functional piece of furniture.,//timbermanor.in/cdn/shop/files/2E364CB0-2FA6-40F1-9389-A157B93A8552.png?v=1718131882&width=1946,"Height- 42in
Width- 36in
Depth- 15in",https://timbermanor.in/products/elle-cabinet
Ancilla Bookshelf,"Rs. 24,000.00","Expertly handcrafted with natural hues of wood and rattan, the Ancilla Bookshelf exudes timeless charm and versatility. The intricate borders add a touch of elegance while providing sturdy support for your books and decor. Elevate your living space with this unique and functional piece.",//timbermanor.in/cdn/shop/files/990FE131-1EAC-42E9-86FA-C832D24D5105.png?v=1717067104&width=1946,"Height- 60in
Width- 24in
Depth- 15in",https://timbermanor.in/products/untitled-apr3_08-37
Burt Cabinet,"Rs. 24,500.00","The Burt Cabinet features exquisite rattan panels and versatile storage. With its elegant design and functional storage space, this cabinet adds a touch of sophistication to any room. The rattan panels add a unique texture, while the ample storage space allows for easy organization and accessibility. Perfect for any home or office setting.",//timbermanor.in/cdn/shop/files/204805A3-691E-4372-9AE5-69D9215389CD.jpg?v=1712203979&width=1946,"Height- 52in
Width- 24in
Depth- 18in",https://timbermanor.in/products/burt-cabinet
Menai Cabinet,"Rs. 31,850.00","Introducing the Olive Range extension - an expertly designed and adaptable addition. Featuring a stunning blend of burnt brown and olive hues, plus a unique notched wicker detail to elevate your living space. This is a made to order product, please contact us if you’d like the dimensions or the finish to be altered.",//timbermanor.in/cdn/shop/files/224F3B96-642A-42BD-8F5D-6E15D6AAD548.heic?v=1684235726&width=1946,"Height- 60in (top -15in) (bottom- 20in)
Width- 32in
Depth- 16in (top- 13in) (bottom- 15in)
",https://timbermanor.in/products/menai-cabinet
Miraki Daybed,"Rs. 42,000.00","The Miraki Daybed is a versatile addition to any space, providing both functionality and comfort. With its unique design, it enhances the utility of a room while also offering a cozy spot for lounging or sleeping. Upgrade your space with this must-have piece.",//timbermanor.in/cdn/shop/files/089AE211-5343-49F4-9CD9-C150E6E85E88.jpg?v=1714133929&width=1946,,https://timbermanor.in/products/miraki-daybed
Lamia Bench,"Rs. 18,000.00","Discover the natural elegance of the Lamia Bench, beautifully crafted with a handwoven jute seat and a sturdy Sheesham wood frame. Enhance any space with its eco-friendly materials, providing both style and support. Elevate your decor with this unique piece.",//timbermanor.in/cdn/shop/files/945B3F95-DACC-4230-B12C-565E855C8E12.png?v=1720638836&width=1946,"Length- 50in
Width- 16in
Height- 18in",https://timbermanor.in/products/lamia-bench
Lamia Dining Set,"Rs. 64,500.00","The Lamia Dining Set is a stylish and durable option for any dining space. Crafted from solid wood, this set offers both strength and elegance. The jute seating provides a unique and comfortable seating option, making it perfect for family dinners or entertaining guests. Experience the perfect combination of functionality and design with the Lamia Dining Set.",//timbermanor.in/cdn/shop/files/90110EB3-290C-49F0-BED7-0213274B493E.png?v=1719151711&width=1946,"Length- 60in
Height- 30in
Width- 36in",https://timbermanor.in/products/untitled-jun23_19-07
Tristan Dining Table,"Rs. 28,500.00","The Tristan Dining Table boasts a charming farmhouse style, with a crème finished base and natural wooden top. Crafted with expert precision, this dining table seamlessly marries form and function, making it the perfect addition to any home. Its timeless design and sturdy build promise to elevate both your dining experience and your décor.",//timbermanor.in/cdn/shop/files/888ED43C-2D7B-4AE0-BA36-818745343AED.png?v=1717431056&width=1946,,https://timbermanor.in/products/tristan-dining-table
Clyde Dining Table,"Rs. 24,850.00",Discover the perfect blend of style and functionality with the Clyde Dining Table. Its modern design showcases natural wood tones to elevate any dining space. Expert craftsmanship and contemporary aesthetics make this table a must-have for any home.,//timbermanor.in/cdn/shop/files/BC1E5AD9-9C98-462B-B86F-31D9F04335F5.jpg?v=1714028606&width=1946,"Length- 66in
Height- 32in
Width- 36in",https://timbermanor.in/products/clyde-dining-table
Matilda Console,"Rs. 26,850.00","The Matilda Console adds mid-century charm while also providing functional storage space. With its sleek design and additional storage capabilities, this console table is perfect for any entryway, living room, or hallway. Bring both style and organization to your home with the Matilda Console. Effortlessly store and display your belongings with the Matilda Console, a mid century piece that offers extra storage options. Enhance your space with this sleek and functional console, perfect for any modern home.",//timbermanor.in/cdn/shop/files/0CD1EBCE-2E51-4DF5-B009-DFF0FBEFE26B.png?v=1717236714&width=1946,"Length- 42in
Height- 48in
Depth- 16in",https://timbermanor.in/products/untitled-apr24_14-41
Bennet Cupboard,"Rs. 26,850.00","The Bennet Cupboard adds a touch of elegance to any room with its beautiful antique brown finish and intricate rattan panels. Its spacious design allows for ample storage and organization, making it a practical and stylish addition to your home decor.",//timbermanor.in/cdn/shop/files/501A0B82-186A-4138-9718-C39A7B67DCAB.png?v=1717429616&width=1946,"Height- 42in
Width- 36in
Depth- 15in",https://timbermanor.in/products/bennet-cupboard
Denver Dresser,"Rs. 38,500.00","This Denver Dresser, also referred to as a ""storage maestro,"" is composed of solid wood and coated in white Duco paint. Its spacious drawers are lined with soft velvet, providing a touch of luxury. This custom-made piece perfectly complements our Lauris Queen Bed and Denver Bedsides and is crafted with expertise using high-quality solid wood. The combination of its exquisite design and compatibility with other pieces make the Denver Dresser a must-have addition to any bedroom. This is a made to order product, please contact us if you’d like the dimensions or the finish to be altered.",//timbermanor.in/cdn/shop/files/C2A17F8B-7F6D-4346-888D-BC4FD20A8C7C.png?v=1717430519&width=1946,"Length- 54in
Height- 40in
Depth- 18in
",https://timbermanor.in/products/denver-dresser
Bennet Cupboard,"Rs. 26,850.00","The Bennet Cupboard adds a touch of elegance to any room with its beautiful antique brown finish and intricate rattan panels. Its spacious design allows for ample storage and organization, making it a practical and stylish addition to your home decor.",//timbermanor.in/cdn/shop/files/501A0B82-186A-4138-9718-C39A7B67DCAB.png?v=1717429616&width=1946,"Height- 42in
Width- 36in
Depth- 15in",https://timbermanor.in/products/bennet-cupboard
Venezia Cabinet,"Rs. 31,500.00",No description available,//timbermanor.in/cdn/shop/files/92AE7AE0-37B4-44FD-98FF-7388BEAF5ADC.jpg?v=1682664034&width=1946,"Length- 60in
Height- 36in
Depth- 14in",https://timbermanor.in/products/venezia-cabinet
Kun Wall Shelves,"Rs. 4,200.00","Maximize storage and style with Kun Wall Shelves. Crafted with natural cane, these shelves provide a sleek and modern look while also offering durable and functional storage options. Perfect for any room in your home, these shelves add a touch of elegance while keeping your space organized and clutter-free.",//timbermanor.in/cdn/shop/files/46A7870F-BDE7-4B1D-AD21-5A30E682F58B.jpg?v=1714470615&width=1946,"Length- 24in
Height- 6in
Depth- 6in",https://timbermanor.in/products/untitled-apr19_11-49
Essen Olive Cabinet,"Rs. 23,500.00",No description available,//timbermanor.in/cdn/shop/files/DB62A6B2-C8FC-44A4-A8CD-0F200EDF8924_1_102_o.jpg?v=1683359803&width=1946,"Height- 42in
Width- 36in
Depth- 15in",https://timbermanor.in/products/essen-olive-cabinet
Clyde Bench,"Rs. 14,850.00","The Clyde Bench is a versatile addition to any space, featuring a contemporary design and a raw wood finish. Its sleek look and neutral color make it suitable for a variety of décor styles. Crafted with high-quality materials, it's both durable and stylish, providing a functional and modern touch to your home.",//timbermanor.in/cdn/shop/files/A65CA69E-10B3-42E8-AE09-3A9501F08FB7.jpg?v=1714134314&width=1946,,https://timbermanor.in/products/clyde-bench
Nelson Bed,"Rs. 68,000.00","The Nelson King Bed offers elegant, timeless style with its black matte finish. With ample storage, this king-sized bed combines practicality and aesthetics, making it the perfect addition to any bedroom. Experience the luxury of a king-sized bed with the added convenience of storage space.",//timbermanor.in/cdn/shop/files/EADD487D-23DB-49A8-995E-0A03B543DC00.png?v=1718091692&width=1946,,https://timbermanor.in/products/king-bed-storage
Noel Rattan Bed,"Rs. 42,000.00","Indulge in the ultimate luxury with our Noel Rattan Bed. Handcrafted with exquisite rattan, this bed exudes elegance and sophistication. Elevate your bedroom decor with this stunning piece, adding a touch of natural beauty to your sanctuary. Experience the perfect blend of comfort and style with our Noel Rattan Bed.",//timbermanor.in/cdn/shop/files/59A5B42C-C720-4AC9-BDD4-A3C0FC02A2CE.png?v=1718311910&width=1946,"King Size

Mattress - 72x75in",https://timbermanor.in/products/noel-rattan-bed
Warren Drawerboard,"Rs. 31,500.00","Unique door design for extra access , channeled drawers and brass coated legs . Experience the elegance of our Warren Sideboard featuring rattan panelled French doors, channeled drawers, and antique burnt olive tones. Add a touch of vintage charm to any space while also providing ample storage. Crafted with quality and style in mind, this piece will elevate your home decor.",//timbermanor.in/cdn/shop/files/56EC376D-5EBF-48B8-8BC8-3C049FBCBD10.png?v=1718088577&width=1946,"Length- 48in
Height- 38.5in
Depth- 18in",https://timbermanor.in/products/warren-sideboard
Toledo Cabinet,"Rs. 32,500.00","The Toledo Cabinet is a must-have for any home, offering both style and functionality. With its spacious sideboard and convenient drawer storage, you can easily store and organize belongings. The added bonus of rattan adds a touch of elegance to any room. Upgrade your space today with this versatile piece.",//timbermanor.in/cdn/shop/files/03DF4F9C-9332-4DBD-A480-22C1C1B05B1C.png?v=1716532687&width=1946,"Length- 48in
Height- 42in
Depth- 16in",https://timbermanor.in/products/toledo-cabinet
Matilda Console Legacy,"Rs. 26,500.00","The Matilda Console Legacy is a timeless piece, beautifully finished in antique brown and stained green. With spacious cabinets and channeled drawers, it offers ample storage while adding a touch of handwoven rattan for a unique and elegant look. The perfect addition to any home or office space.",//timbermanor.in/cdn/shop/files/030759EA-521F-41BD-B945-616804F88D00.png?v=1717237609&width=1946,"Length- 42in
Height- 48in
Depth- 16in",https://timbermanor.in/products/matilda-console-legacy
Venezia Cabinet,"Rs. 31,500.00",No description available,//timbermanor.in/cdn/shop/files/92AE7AE0-37B4-44FD-98FF-7388BEAF5ADC.jpg?v=1682664034&width=1946,"Length- 60in
Height- 36in
Depth- 14in",https://timbermanor.in/products/venezia-cabinet
Brussels Sideboard,"Rs. 31,500.00",No description available,//timbermanor.in/cdn/shop/files/E7C0DCD3-6C3E-463A-9767-8539F19A56B4.jpg?v=1717069101&width=1946,"Length- 60in
Height- 36in
Depth- 16in",https://timbermanor.in/products/brussels-sideboard
Leslie Lounger,"Rs. 36,800.00","The Leslie Lounger features a boucle upholstered design, providing both style and comfort in one piece of furniture. Perfect for lounging and relaxation, this lounger offers a comfortable seating experience for any space. Indulge in the highest level of comfort and add a touch of chic to your home with the Leslie Lounger.",//timbermanor.in/cdn/shop/files/C63F664C-1E10-4626-A313-619F2346D022.png?v=1721460598&width=1946,"Length- 72in
Width- 32in
Seating height- 17.5in
Armrest/backrest height- 34in",https://timbermanor.in/products/lounger
Whitman Lounger,"Rs. 58,500.00","Designed for maximum comfort, the Whitman Lounger boasts fibre cushioned seats and soft linen/cotton upholstery. Perfect for relaxing after a long day, this stylish piece will elevate any living space with its ultra comfortable design.",//timbermanor.in/cdn/shop/files/F69399F0-5EEA-42AA-8EB8-35426C121995.png?v=1719027377&width=1946,"Length- 84in
Width- 32in
Seating height- 18.5in
Back height- 30in",https://timbermanor.in/products/untitled-jun21_12-09
Carlton Lounger,"Rs. 84,000.00","The Carlton Lounger offers superior comfort and spaciousness with its soft padding for armrests and ultra comfortable cushions. The wooden frame provides durability and support, while the chaise allows for ultimate relaxation. Perfect for those seeking a luxurious lounging experience.",//timbermanor.in/cdn/shop/files/5180B526-9123-44A4-8482-31CC57084992.png?v=1717586726&width=1946,,https://timbermanor.in/products/carlton-lounger
Naples Lounger,"Rs. 62,000.00","Made with Sheesham wood and upholstered in a easy to clean plush cotton fabric. The Naples Lounger offers ultimate comfort with added cushioning. Designed to make relaxation a priority, this lounger provides exceptional comfort for extended use. Increase your comfort level with this luxurious addition to your living space.",//timbermanor.in/cdn/shop/files/3067A9F5-8EA7-46EC-9491-25FA0681C16C.jpg?v=1714133394&width=1946,,https://timbermanor.in/products/naples-lounger
Danielle Lounger,"Rs. 56,850.00",No description available,//timbermanor.in/cdn/shop/files/AE80D8E2-8C96-4CE9-AEAC-E0F4B2A792F1.png?v=1716268564&width=1946,"Length- 84in
Height- 32in
Depth-32in",https://timbermanor.in/products/danielle-lounger
Gareth Bed,"Rs. 36,500.00","Expertly crafted from solid wood, the Gareth Bed Set features a stunning half poster design and all wooden sides for a durable and stylish addition to any bedroom. Elevate your sleeping experience with this beautifully crafted bed.",//timbermanor.in/cdn/shop/files/4330C096-778B-46DC-BAFB-19C2B92C29DA.png?v=1719428498&width=1946,,https://timbermanor.in/products/gareth-bed-set
Noel Rattan Bed,"Rs. 42,000.00","Indulge in the ultimate luxury with our Noel Rattan Bed. Handcrafted with exquisite rattan, this bed exudes elegance and sophistication. Elevate your bedroom decor with this stunning piece, adding a touch of natural beauty to your sanctuary. Experience the perfect blend of comfort and style with our Noel Rattan Bed.",//timbermanor.in/cdn/shop/files/59A5B42C-C720-4AC9-BDD4-A3C0FC02A2CE.png?v=1718311910&width=1946,"King Size

Mattress - 72x75in",https://timbermanor.in/products/noel-rattan-bed
Caitlyn Bed,"Rs. 36,500.00","The Caitlyn Queen Bed is a sleek and modern addition to any bedroom. With its minimalistic design and upholstered finish, it offers both style and comfort. Crafted with high-quality materials, this bed will provide a restful night's sleep for years to come. Elevate your bedroom with this elegant and functional piece.",//timbermanor.in/cdn/shop/files/3E9132AB-40F5-4984-A41D-C7A82A07FD6E.png?v=1718183294&width=1946,,https://timbermanor.in/products/caitlyn-queen-bed
Nelson Bed,"Rs. 68,000.00","The Nelson King Bed offers elegant, timeless style with its black matte finish. With ample storage, this king-sized bed combines practicality and aesthetics, making it the perfect addition to any bedroom. Experience the luxury of a king-sized bed with the added convenience of storage space.",//timbermanor.in/cdn/shop/files/EADD487D-23DB-49A8-995E-0A03B543DC00.png?v=1718091692&width=1946,,https://timbermanor.in/products/king-bed-storage
Ruth Queen Bed,"Rs. 46,000.00","The Ruth Queen Bed combines the natural elegance of rattan with the sturdy durability of solid wood. The rattan back adds a touch of sophistication to this queen-sized bed, creating a comfortable and stylish sleeping experience. Crafted with quality materials, it is built to last for years to come.",//timbermanor.in/cdn/shop/files/B76CA432-8FB4-40D1-B585-28A5CCA9DD4E.png?v=1717430764&width=1946,"Mattress size: 60x78in

Headboard height- 54in
Platform height- 12in",https://timbermanor.in/products/ruth-queen-bed
Diona Bed,"Rs. 38,000.00","Elevate your bedroom with the Diona Queen Bed. Featuring an upholstered curved headboard, this bed offers both comfort and style. The rich natural tones add a touch of elegance to any room. Crafted with expert precision, experience luxury at its finest.",//timbermanor.in/cdn/shop/files/2E1AE92C-3876-4867-A488-9A6F7EEFC0BA.png?v=1717429953&width=1946,,https://timbermanor.in/products/diona-queen-bed
Quinn Study Desk,"Rs. 22,500.00","Maximize your study space with the Quinn Study Desk. This sleek desk is designed with space utilization in mind, featuring a moss green finish and natural wooden tones. The channelled drawer storage and drop down counter make it easy to stay organized, while adding a touch of style to your workspace.",//timbermanor.in/cdn/shop/files/783F6EC2-A051-4367-864F-3EECF07DC92D.jpg?v=1714640051&width=1946,"Length- 36in
Height- 48in
Depth- 16in",https://timbermanor.in/products/quinn-study-desk
Flynn Study Desk,"Rs. 23,880.00","This Flynn Study Desk is expertly crafted from solid wood, providing a timeless and durable addition to any study space. With its functional storage options and minimalist theme, it offers a perfect balance of form and function. Increase productivity with this professional and stylish desk.",//timbermanor.in/cdn/shop/files/19A89D59-EA78-4211-A327-8EAEDDCA924D.png?v=1716197929&width=1946,"Length- 42in
Height- 48in
Depth- 16in",https://timbermanor.in/products/untitled-may1_09-20
Talula TV Cabinet,"Rs. 24,500.00",No description available,//timbermanor.in/cdn/shop/files/7BB9B536-37AD-4935-844E-991791C222F7.png?v=1706096497&width=1946,"Length- 66in
Height- 22in
Depth- 15in",https://timbermanor.in/products/talula-tv-cabinet
Tudor Bar Cabinet,"Rs. 31,850.00",No description available,//timbermanor.in/cdn/shop/files/BB7A909E-A80A-4024-AE1D-F7C500430CE0.jpg?v=1682598463&width=1946,"Height- 44in
Width- 38in
Depth- 14in",https://timbermanor.in/products/tudor-bar-cabinet
Gerald Tv Cabinet,"Rs. 26,500.00","Crafted with expert precision, the Gerald TV Cabinet exudes a mid-century aesthetic, featuring a tasteful blend of rustic red and antique brown finishes. Its auto hinges and custom knobs add a touch of refinement to any space, elevating your TV viewing experience.",//timbermanor.in/cdn/shop/files/D1313F5E-AD1E-4890-92A3-7B1B398DF9BF.png?v=1706673380&width=1946,"Length- 70in
Height- 24in
Depth- 15in",https://timbermanor.in/products/gerald-tv-cabinet
Elm Tallboard,"Rs. 33,500.00",No description available,//timbermanor.in/cdn/shop/files/A65C2765-B3FE-46C6-BED5-AF012B33B87A.png?v=1684303449&width=1946,"Height- 66in
Width- 24in
Depth- 14in",https://timbermanor.in/products/elm-tallboard
Denver Dresser,"Rs. 38,500.00","This Denver Dresser, also referred to as a ""storage maestro,"" is composed of solid wood and coated in white Duco paint. Its spacious drawers are lined with soft velvet, providing a touch of luxury. This custom-made piece perfectly complements our Lauris Queen Bed and Denver Bedsides and is crafted with expertise using high-quality solid wood. The combination of its exquisite design and compatibility with other pieces make the Denver Dresser a must-have addition to any bedroom. This is a made to order product, please contact us if you’d like the dimensions or the finish to be altered.",//timbermanor.in/cdn/shop/files/C2A17F8B-7F6D-4346-888D-BC4FD20A8C7C.png?v=1717430519&width=1946,"Length- 54in
Height- 40in
Depth- 18in
",https://timbermanor.in/products/denver-dresser
Burkin Cabinet,"Rs. 28,850.00","Expertly handcrafted from natural wood tones and adorned with a delicate pastel green carved design, this cabinet offers versatile storage options for linens, dishes, or shoes. Its sturdy construction ensures reliable weight-bearing capabilities.",//timbermanor.in/cdn/shop/files/IMG_3745.png?v=1709276483&width=1946,"Height- 54in
Width- 32in
Depth- 16in",https://timbermanor.in/products/burkin-cabinet
Whitman Coffee Table,"Rs. 26,000.00","Crafted by hand, the Whitman Coffee Table is made from premium solid Sheesham wood. Experience the state-of-the-art design and high-quality craftsmanship with every use. Elevate your living space with this luxurious and durable piece.",//timbermanor.in/cdn/shop/files/FC0226C4-8801-4313-9765-6CE0A13EBC6C.png?v=1719218672&width=1946,"Length- 36in
Width- 36in
Height- 16.5in",https://timbermanor.in/products/whitman-coffee-table
Whitman Lounger,"Rs. 58,500.00","Designed for maximum comfort, the Whitman Lounger boasts fibre cushioned seats and soft linen/cotton upholstery. Perfect for relaxing after a long day, this stylish piece will elevate any living space with its ultra comfortable design.",//timbermanor.in/cdn/shop/files/F69399F0-5EEA-42AA-8EB8-35426C121995.png?v=1719027377&width=1946,"Length- 84in
Width- 32in
Seating height- 18.5in
Back height- 30in",https://timbermanor.in/products/untitled-jun21_12-09
Whitman Armchair,"Rs. 24,500.00","The Whitman Armchair is a plush seating made from high-quality Sheesham wood and features a soft linen cover. This luxurious combination offers both comfort and durability for any living space. With a sleek and modern design, this armchair is a must-have for any home.",//timbermanor.in/cdn/shop/files/BF09D4DC-E9C7-4A17-9962-4A6A240349D4.png?v=1718313188&width=1946,,https://timbermanor.in/products/nelson-single-seater
